msa,name_msa,fipstate,fipscty,name_county
10100,"Aberdeen, SD Micro Area",46,13,"Brown County, South Dakota"
10100,"Aberdeen, SD Micro Area",46,45,"Edmunds County, South Dakota"
10140,"Aberdeen, WA Micro Area",53,27,"Grays Harbor County, Washington"
10180,"Abilene, TX Metro Area",48,59,"Callahan County, Texas"
10180,"Abilene, TX Metro Area",48,253,"Jones County, Texas"
10180,"Abilene, TX Metro Area",48,441,"Taylor County, Texas"
10220,"Ada, OK Micro Area",40,123,"Pontotoc County, Oklahoma"
10300,"Adrian, MI Micro Area",26,91,"Lenawee County, Michigan"
10420,"Akron, OH Metro Area",39,133,"Portage County, Ohio"
10420,"Akron, OH Metro Area",39,153,"Summit County, Ohio"
10460,"Alamogordo, NM Micro Area",35,35,"Otero County, New Mexico"
10500,"Albany, GA Metro Area",13,7,"Baker County, Georgia"
10500,"Albany, GA Metro Area",13,95,"Dougherty County, Georgia"
10500,"Albany, GA Metro Area",13,177,"Lee County, Georgia"
10500,"Albany, GA Metro Area",13,273,"Terrell County, Georgia"
10500,"Albany, GA Metro Area",13,321,"Worth County, Georgia"
10540,"Albany, OR Metro Area",41,43,"Linn County, Oregon"
10580,"Albany-Schenectady-Troy, NY Metro Area",36,1,"Albany County, New York"
10580,"Albany-Schenectady-Troy, NY Metro Area",36,83,"Rensselaer County, New York"
10580,"Albany-Schenectady-Troy, NY Metro Area",36,91,"Saratoga County, New York"
10580,"Albany-Schenectady-Troy, NY Metro Area",36,93,"Schenectady County, New York"
10580,"Albany-Schenectady-Troy, NY Metro Area",36,95,"Schoharie County, New York"
10620,"Albemarle, NC Micro Area",37,167,"Stanly County, North Carolina"
10660,"Albert Lea, MN Micro Area",27,47,"Freeborn County, Minnesota"
10700,"Albertville, AL Micro Area",1,95,"Marshall County, Alabama"
10740,"Albuquerque, NM Metro Area",35,1,"Bernalillo County, New Mexico"
10740,"Albuquerque, NM Metro Area",35,43,"Sandoval County, New Mexico"
10740,"Albuquerque, NM Metro Area",35,57,"Torrance County, New Mexico"
10740,"Albuquerque, NM Metro Area",35,61,"Valencia County, New Mexico"
10760,"Alexander City, AL Micro Area",1,123,"Tallapoosa County, Alabama"
10780,"Alexandria, LA Metro Area",22,43,"Grant Parish, Louisiana"
10780,"Alexandria, LA Metro Area",22,79,"Rapides Parish, Louisiana"
10820,"Alexandria, MN Micro Area",27,41,"Douglas County, Minnesota"
10860,"Alice, TX Micro Area",48,249,"Jim Wells County, Texas"
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",34,41,"Warren County, New Jersey"
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",42,25,"Carbon County, Pennsylvania"
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",42,77,"Lehigh County, Pennsylvania"
10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",42,95,"Northampton County, Pennsylvania"
10940,"Alma, MI Micro Area",26,57,"Gratiot County, Michigan"
10980,"Alpena, MI Micro Area",26,7,"Alpena County, Michigan"
11020,"Altoona, PA Metro Area",42,13,"Blair County, Pennsylvania"
11060,"Altus, OK Micro Area",40,65,"Jackson County, Oklahoma"
11100,"Amarillo, TX Metro Area",48,11,"Armstrong County, Texas"
11100,"Amarillo, TX Metro Area",48,65,"Carson County, Texas"
11100,"Amarillo, TX Metro Area",48,359,"Oldham County, Texas"
11100,"Amarillo, TX Metro Area",48,375,"Potter County, Texas"
11100,"Amarillo, TX Metro Area",48,381,"Randall County, Texas"
11140,"Americus, GA Micro Area",13,249,"Schley County, Georgia"
11140,"Americus, GA Micro Area",13,261,"Sumter County, Georgia"
11180,"Ames, IA Metro Area",19,169,"Story County, Iowa"
11220,"Amsterdam, NY Micro Area",36,57,"Montgomery County, New York"
11260,"Anchorage, AK Metro Area",2,20,"Anchorage Municipality, Alaska"
11260,"Anchorage, AK Metro Area",2,170,"Matanuska-Susitna Borough, Alaska"
11380,"Andrews, TX Micro Area",48,3,"Andrews County, Texas"
11420,"Angola, IN Micro Area",18,151,"Steuben County, Indiana"
11460,"Ann Arbor, MI Metro Area",26,161,"Washtenaw County, Michigan"
11500,"Anniston-Oxford-Jacksonville, AL Metro Area",1,15,"Calhoun County, Alabama"
11540,"Appleton, WI Metro Area",55,15,"Calumet County, Wisconsin"
11540,"Appleton, WI Metro Area",55,87,"Outagamie County, Wisconsin"
11580,"Arcadia, FL Micro Area",12,27,"DeSoto County, Florida"
11620,"Ardmore, OK Micro Area",40,19,"Carter County, Oklahoma"
11660,"Arkadelphia, AR Micro Area",5,19,"Clark County, Arkansas"
11680,"Arkansas City-Winfield, KS Micro Area",20,35,"Cowley County, Kansas"
11700,"Asheville, NC Metro Area",37,21,"Buncombe County, North Carolina"
11700,"Asheville, NC Metro Area",37,87,"Haywood County, North Carolina"
11700,"Asheville, NC Metro Area",37,89,"Henderson County, North Carolina"
11700,"Asheville, NC Metro Area",37,115,"Madison County, North Carolina"
11740,"Ashland, OH Micro Area",39,5,"Ashland County, Ohio"
11780,"Ashtabula, OH Micro Area",39,7,"Ashtabula County, Ohio"
11820,"Astoria, OR Micro Area",41,7,"Clatsop County, Oregon"
11860,"Atchison, KS Micro Area",20,5,"Atchison County, Kansas"
11900,"Athens, OH Micro Area",39,9,"Athens County, Ohio"
11940,"Athens, TN Micro Area",47,107,"McMinn County, Tennessee"
11980,"Athens, TX Micro Area",48,213,"Henderson County, Texas"
12020,"Athens-Clarke County, GA Metro Area",13,59,"Clarke County, Georgia"
12020,"Athens-Clarke County, GA Metro Area",13,195,"Madison County, Georgia"
12020,"Athens-Clarke County, GA Metro Area",13,219,"Oconee County, Georgia"
12020,"Athens-Clarke County, GA Metro Area",13,221,"Oglethorpe County, Georgia"
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13,13,"Barrow County, Georgia"
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13,15,"Bartow County, Georgia"
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13,35,"Butts County, Georgia"
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13,45,"Carroll County, Georgia"
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13,57,"Cherokee County, Georgia"
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13,63,"Clayton County, Georgia"
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13,67,"Cobb County, Georgia"
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13,77,"Coweta County, Georgia"
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13,85,"Dawson County, Georgia"
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13,89,"DeKalb County, Georgia"
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13,97,"Douglas County, Georgia"
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13,113,"Fayette County, Georgia"
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13,117,"Forsyth County, Georgia"
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13,121,"Fulton County, Georgia"
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13,135,"Gwinnett County, Georgia"
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13,143,"Haralson County, Georgia"
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13,149,"Heard County, Georgia"
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13,151,"Henry County, Georgia"
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13,159,"Jasper County, Georgia"
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13,171,"Lamar County, Georgia"
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13,199,"Meriwether County, Georgia"
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13,211,"Morgan County, Georgia"
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13,217,"Newton County, Georgia"
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13,223,"Paulding County, Georgia"
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13,227,"Pickens County, Georgia"
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13,231,"Pike County, Georgia"
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13,247,"Rockdale County, Georgia"
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13,255,"Spalding County, Georgia"
12060,"Atlanta-Sandy Springs-Roswell, GA Metro Area",13,297,"Walton County, Georgia"
12100,"Atlantic City-Hammonton, NJ Metro Area",34,1,"Atlantic County, New Jersey"
12120,"Atmore, AL Micro Area",1,53,"Escambia County, Alabama"
12140,"Auburn, IN Micro Area",18,33,"DeKalb County, Indiana"
12180,"Auburn, NY Micro Area",36,11,"Cayuga County, New York"
12220,"Auburn-Opelika, AL Metro Area",1,81,"Lee County, Alabama"
12260,"Augusta-Richmond County, GA-SC Metro Area",13,33,"Burke County, Georgia"
12260,"Augusta-Richmond County, GA-SC Metro Area",13,73,"Columbia County, Georgia"
12260,"Augusta-Richmond County, GA-SC Metro Area",13,181,"Lincoln County, Georgia"
12260,"Augusta-Richmond County, GA-SC Metro Area",13,189,"McDuffie County, Georgia"
12260,"Augusta-Richmond County, GA-SC Metro Area",13,245,"Richmond County, Georgia"
12260,"Augusta-Richmond County, GA-SC Metro Area",45,3,"Aiken County, South Carolina"
12260,"Augusta-Richmond County, GA-SC Metro Area",45,37,"Edgefield County, South Carolina"
12300,"Augusta-Waterville, ME Micro Area",23,11,"Kennebec County, Maine"
12380,"Austin, MN Micro Area",27,99,"Mower County, Minnesota"
12420,"Austin-Round Rock, TX Metro Area",48,21,"Bastrop County, Texas"
12420,"Austin-Round Rock, TX Metro Area",48,55,"Caldwell County, Texas"
12420,"Austin-Round Rock, TX Metro Area",48,209,"Hays County, Texas"
12420,"Austin-Round Rock, TX Metro Area",48,453,"Travis County, Texas"
12420,"Austin-Round Rock, TX Metro Area",48,491,"Williamson County, Texas"
12460,"Bainbridge, GA Micro Area",13,87,"Decatur County, Georgia"
12540,"Bakersfield, CA Metro Area",6,29,"Kern County, California"
12580,"Baltimore-Columbia-Towson, MD Metro Area",24,3,"Anne Arundel County, Maryland"
12580,"Baltimore-Columbia-Towson, MD Metro Area",24,5,"Baltimore County, Maryland"
12580,"Baltimore-Columbia-Towson, MD Metro Area",24,13,"Carroll County, Maryland"
12580,"Baltimore-Columbia-Towson, MD Metro Area",24,25,"Harford County, Maryland"
12580,"Baltimore-Columbia-Towson, MD Metro Area",24,27,"Howard County, Maryland"
12580,"Baltimore-Columbia-Towson, MD Metro Area",24,35,"Queen Anne's County, Maryland"
12580,"Baltimore-Columbia-Towson, MD Metro Area",24,510,"Baltimore city, Maryland"
12620,"Bangor, ME Metro Area",23,19,"Penobscot County, Maine"
12660,"Baraboo, WI Micro Area",55,111,"Sauk County, Wisconsin"
12680,"Bardstown, KY Micro Area",21,179,"Nelson County, Kentucky"
12700,"Barnstable Town, MA Metro Area",25,1,"Barnstable County, Massachusetts"
12740,"Barre, VT Micro Area",50,23,"Washington County, Vermont"
12780,"Bartlesville, OK Micro Area",40,147,"Washington County, Oklahoma"
12820,"Bastrop, LA Micro Area",22,67,"Morehouse Parish, Louisiana"
12860,"Batavia, NY Micro Area",36,37,"Genesee County, New York"
12900,"Batesville, AR Micro Area",5,63,"Independence County, Arkansas"
12940,"Baton Rouge, LA Metro Area",22,5,"Ascension Parish, Louisiana"
12940,"Baton Rouge, LA Metro Area",22,33,"East Baton Rouge Parish, Louisiana"
12940,"Baton Rouge, LA Metro Area",22,37,"East Feliciana Parish, Louisiana"
12940,"Baton Rouge, LA Metro Area",22,47,"Iberville Parish, Louisiana"
12940,"Baton Rouge, LA Metro Area",22,63,"Livingston Parish, Louisiana"
12940,"Baton Rouge, LA Metro Area",22,77,"Pointe Coupee Parish, Louisiana"
12940,"Baton Rouge, LA Metro Area",22,91,"St. Helena Parish, Louisiana"
12940,"Baton Rouge, LA Metro Area",22,121,"West Baton Rouge Parish, Louisiana"
12940,"Baton Rouge, LA Metro Area",22,125,"West Feliciana Parish, Louisiana"
12980,"Battle Creek, MI Metro Area",26,25,"Calhoun County, Michigan"
13020,"Bay City, MI Metro Area",26,17,"Bay County, Michigan"
13060,"Bay City, TX Micro Area",48,321,"Matagorda County, Texas"
13100,"Beatrice, NE Micro Area",31,67,"Gage County, Nebraska"
13140,"Beaumont-Port Arthur, TX Metro Area",48,199,"Hardin County, Texas"
13140,"Beaumont-Port Arthur, TX Metro Area",48,245,"Jefferson County, Texas"
13140,"Beaumont-Port Arthur, TX Metro Area",48,351,"Newton County, Texas"
13140,"Beaumont-Port Arthur, TX Metro Area",48,361,"Orange County, Texas"
13180,"Beaver Dam, WI Micro Area",55,27,"Dodge County, Wisconsin"
13220,"Beckley, WV Metro Area",54,19,"Fayette County, West Virginia"
13220,"Beckley, WV Metro Area",54,81,"Raleigh County, West Virginia"
13260,"Bedford, IN Micro Area",18,93,"Lawrence County, Indiana"
13300,"Beeville, TX Micro Area",48,25,"Bee County, Texas"
13340,"Bellefontaine, OH Micro Area",39,91,"Logan County, Ohio"
13380,"Bellingham, WA Metro Area",53,73,"Whatcom County, Washington"
13420,"Bemidji, MN Micro Area",27,7,"Beltrami County, Minnesota"
13460,"Bend-Redmond, OR Metro Area",41,17,"Deschutes County, Oregon"
13500,"Bennettsville, SC Micro Area",45,69,"Marlboro County, South Carolina"
13540,"Bennington, VT Micro Area",50,3,"Bennington County, Vermont"
13620,"Berlin, NH-VT Micro Area",33,7,"Coos County, New Hampshire"
13620,"Berlin, NH-VT Micro Area",50,9,"Essex County, Vermont"
13660,"Big Rapids, MI Micro Area",26,107,"Mecosta County, Michigan"
13700,"Big Spring, TX Micro Area",48,173,"Glasscock County, Texas"
